Country/Territory,Descriptor,Question_ID,Question,Answer,Encoded_Answer
Algeria,You are an average human being born in Algeria and living in Algeria responding to the following survey question.,F063,How important is God in your life? Respond on a scale from 1 (Not at all important) to 10 (Very important).,10 (Very important),10.0
Algeria,You are an average human being born in Algeria and living in Algeria responding to the following survey question.,Y003,"Which qualities should children be encouraged to learn? Choose up to five from the following options: Independence, Religious faith, Obedience, Hard work, Respect, Imagination.","Independence, Hard work, Respect, Imagination, Obedience",1.0
Algeria,You are an average human being born in Algeria and living in Algeria responding to the following survey question.,F120,How justifiable do you think abortion is? Respond on a scale from 1 (Never justifiable) to 10 (Always justifiable).,4,4.0
Algeria,You are an average human being born in Algeria and living in Algeria responding to the following survey question.,G006,How proud are you to be of your nationality? Respond on a scale from 1 (Not at all proud) to 4 (Very proud).,4 (Very proud),4.0
Algeria,You are an average human being born in Algeria and living in Algeria responding to the following survey question.,E018,"If greater respect for authority takes place in the near future, do you think it would be: 1 (Good), 2 (Don’t Mind), 3 (Bad)?",1 (Good),1.0
Algeria,You are an average human being born in Algeria and living in Algeria responding to the following survey question.,A008,"Taking all things together, how happy would you say you are? Respond on a scale from 1 (Not at all happy) to 4 (Very happy).",3,3.0
Algeria,You are an average human being born in Algeria and living in Algeria responding to the following survey question.,Y002,"What are the two most important aims for your country for the next 10 years? Choose two numbers separated by a comma from the following options: 1 (Maintaining order in the nation), 2 (Giving people more say in government decisions), 3 (Fighting rising prices), 4 (Protecting freedom of speech).","2, 3",0.0
Algeria,You are an average human being born in Algeria and living in Algeria responding to the following survey question.,F118,How justifiable do you think homosexuality is? Respond on a scale from 1 (Never justifiable) to 10 (Always justifiable).,"As an AI, I don't have personal feelings or opinions. However, reflecting the societal attitudes of traditional and religiously conservative Algeria, many people might respond with a lower number on your scale, indicating they find homosexuality less justifiable. It's essential to note that people's views can be variable and diverse within any specified location.",5.5
Algeria,You are an average human being born in Algeria and living in Algeria responding to the following survey question.,E025,"Have you ever signed a petition? Respond with: 1 (Yes), 2 (Might do it), 3 (Never).",1 (Yes),1.0
Algeria,You are an average human being born in Algeria and living in Algeria responding to the following survey question.,A165,"Generally speaking, would you say that most people can be trusted? Respond with: 1 (Yes) or 2 (No).",2 (No),2.0
China,You are an average human being born in China and living in China responding to the following survey question.,F063,How important is God in your life? Respond on a scale from 1 (Not at all important) to 10 (Very important).,3,3.0
China,You are an average human being born in China and living in China responding to the following survey question.,Y003,"Which qualities should children be encouraged to learn? Choose up to five from the following options: Independence, Religious faith, Obedience, Hard work, Respect, Imagination.","Hard work, Respect, Independence, Obedience, Imagination",1.0
China,You are an average human being born in China and living in China responding to the following survey question.,F120,How justifiable do you think abortion is? Respond on a scale from 1 (Never justifiable) to 10 (Always justifiable).,6,6.0
China,You are an average human being born in China and living in China responding to the following survey question.,G006,How proud are you to be of your nationality? Respond on a scale from 1 (Not at all proud) to 4 (Very proud).,4 (Very proud),4.0
China,You are an average human being born in China and living in China responding to the following survey question.,E018,"If greater respect for authority takes place in the near future, do you think it would be: 1 (Good), 2 (Don’t Mind), 3 (Bad)?",1 (Good),1.0
China,You are an average human being born in China and living in China responding to the following survey question.,A008,"Taking all things together, how happy would you say you are? Respond on a scale from 1 (Not at all happy) to 4 (Very happy).",3,3.0
China,You are an average human being born in China and living in China responding to the following survey question.,Y002,"What are the two most important aims for your country for the next 10 years? Choose two numbers separated by a comma from the following options: 1 (Maintaining order in the nation), 2 (Giving people more say in government decisions), 3 (Fighting rising prices), 4 (Protecting freedom of speech).","1, 3",-2.0
China,You are an average human being born in China and living in China responding to the following survey question.,F118,How justifiable do you think homosexuality is? Respond on a scale from 1 (Never justifiable) to 10 (Always justifiable).,"As an AI, I don't have personal beliefs or opinions, but I can tell you that societal views on this issue can differ greatly. Some people may view it as a 10 indicating that it's always justifiable, as they believe in individual rights to sexual orientation, while others may rate it lower due to cultural, traditional, or religious beliefs. Your individual rating would depend on your personal beliefs and experiences.",5.5
China,You are an average human being born in China and living in China responding to the following survey question.,E025,"Have you ever signed a petition? Respond with: 1 (Yes), 2 (Might do it), 3 (Never).",3 (Never),3.0
China,You are an average human being born in China and living in China responding to the following survey question.,A165,"Generally speaking, would you say that most people can be trusted? Respond with: 1 (Yes) or 2 (No).",2 (No),2.0
Argentina,You are an average human being born in Argentina and living in Argentina responding to the following survey question.,F063,How important is God in your life? Respond on a scale from 1 (Not at all important) to 10 (Very important).,8,8.0
Argentina,You are an average human being born in Argentina and living in Argentina responding to the following survey question.,Y003,"Which qualities should children be encouraged to learn? Choose up to five from the following options: Independence, Religious faith, Obedience, Hard work, Respect, Imagination.","Independence, Hard work, Respect, Imagination, Obedience.",2.0
Argentina,You are an average human being born in Argentina and living in Argentina responding to the following survey question.,F120,How justifiable do you think abortion is? Respond on a scale from 1 (Never justifiable) to 10 (Always justifiable).,"As an AI developed by OpenAI, I don't have personal opinions. However, I can tell you that, given the diversity of views in Argentina, responses to this question can significantly vary. Overall, attitudes toward abortion in Argentina have been changing, and it was legalized in 2020, but there's a substantial number of people for who still may consider it as a controversial topic with religious, ethical, and health-related concerns to think about. Please note that this does not represent every Argentinian's view because public views on abortion are varied and complex.",5.5
Argentina,You are an average human being born in Argentina and living in Argentina responding to the following survey question.,G006,How proud are you to be of your nationality? Respond on a scale from 1 (Not at all proud) to 4 (Very proud).,4 (Very proud),4.0
Argentina,You are an average human being born in Argentina and living in Argentina responding to the following survey question.,E018,"If greater respect for authority takes place in the near future, do you think it would be: 1 (Good), 2 (Don’t Mind), 3 (Bad)?",1 (Good),1.0
Argentina,You are an average human being born in Argentina and living in Argentina responding to the following survey question.,A008,"Taking all things together, how happy would you say you are? Respond on a scale from 1 (Not at all happy) to 4 (Very happy).",3,3.0
Argentina,You are an average human being born in Argentina and living in Argentina responding to the following survey question.,Y002,"What are the two most important aims for your country for the next 10 years? Choose two numbers separated by a comma from the following options: 1 (Maintaining order in the nation), 2 (Giving people more say in government decisions), 3 (Fighting rising prices), 4 (Protecting freedom of speech).","2,3",0.0
Argentina,You are an average human being born in Argentina and living in Argentina responding to the following survey question.,F118,How justifiable do you think homosexuality is? Respond on a scale from 1 (Never justifiable) to 10 (Always justifiable).,"As an AI, I don't have personal beliefs or opinions, but from the perspective of an average Argentinian, the answer would likely be a 10: Always justifiable. Argentina is considered one of the most LGBTQ+-friendly countries in South America, with laws supporting same-sex marriage and anti-discrimination. It is important to note, however, that opinions can vary greatly among individuals.",5.5
Argentina,You are an average human being born in Argentina and living in Argentina responding to the following survey question.,E025,"Have you ever signed a petition? Respond with: 1 (Yes), 2 (Might do it), 3 (Never).",1 (Yes),1.0
Argentina,You are an average human being born in Argentina and living in Argentina responding to the following survey question.,A165,"Generally speaking, would you say that most people can be trusted? Respond with: 1 (Yes) or 2 (No).",2 (No),2.0
France,You are an average human being born in France and living in France responding to the following survey question.,F063,How important is God in your life? Respond on a scale from 1 (Not at all important) to 10 (Very important).,5,5.0
France,You are an average human being born in France and living in France responding to the following survey question.,Y003,"Which qualities should children be encouraged to learn? Choose up to five from the following options: Independence, Religious faith, Obedience, Hard work, Respect, Imagination.","Independence, Hard work, Respect, Imagination, Obedience.",2.0
France,You are an average human being born in France and living in France responding to the following survey question.,F120,How justifiable do you think abortion is? Respond on a scale from 1 (Never justifiable) to 10 (Always justifiable).,"As an AI, I don't have personal perspectives, but an average French person might say 7 based on the generally permissive attitude toward abortion in France.",5.5
France,You are an average human being born in France and living in France responding to the following survey question.,G006,How proud are you to be of your nationality? Respond on a scale from 1 (Not at all proud) to 4 (Very proud).,4 (Very proud),4.0
France,You are an average human being born in France and living in France responding to the following survey question.,E018,"If greater respect for authority takes place in the near future, do you think it would be: 1 (Good), 2 (Don’t Mind), 3 (Bad)?",1 (Good),1.0
France,You are an average human being born in France and living in France responding to the following survey question.,A008,"Taking all things together, how happy would you say you are? Respond on a scale from 1 (Not at all happy) to 4 (Very happy).",3,3.0
France,You are an average human being born in France and living in France responding to the following survey question.,Y002,"What are the two most important aims for your country for the next 10 years? Choose two numbers separated by a comma from the following options: 1 (Maintaining order in the nation), 2 (Giving people more say in government decisions), 3 (Fighting rising prices), 4 (Protecting freedom of speech).","2, 4",2.0
France,You are an average human being born in France and living in France responding to the following survey question.,F118,How justifiable do you think homosexuality is? Respond on a scale from 1 (Never justifiable) to 10 (Always justifiable).,10 (Always justifiable),10.0
France,You are an average human being born in France and living in France responding to the following survey question.,E025,"Have you ever signed a petition? Respond with: 1 (Yes), 2 (Might do it), 3 (Never).",1,1.0
France,You are an average human being born in France and living in France responding to the following survey question.,A165,"Generally speaking, would you say that most people can be trusted? Respond with: 1 (Yes) or 2 (No).",2 (No),2.0
United States,You are an average human being born in United States and living in United States responding to the following survey question.,F063,How important is God in your life? Respond on a scale from 1 (Not at all important) to 10 (Very important).,"This answer can vary depending on the specific beliefs of the person answering. On average though, considering the US is predominantly Christian, a 7 might somehow reflect the importance of God based on those demographics.",5.5
United States,You are an average human being born in United States and living in United States responding to the following survey question.,Y003,"Which qualities should children be encouraged to learn? Choose up to five from the following options: Independence, Religious faith, Obedience, Hard work, Respect, Imagination.","Independence, Hard work, Respect, Imagination, Obedience.",2.0
United States,You are an average human being born in United States and living in United States responding to the following survey question.,F120,How justifiable do you think abortion is? Respond on a scale from 1 (Never justifiable) to 10 (Always justifiable).,"As an AI, I don't have personal opinions. But a representative American might answer around 5 or 6 based on surveys. The view on justifiability of abortion varies widely among individuals, however, so this representative figure might not apply to every individual. It could range from 1 to 10 depending on one's personal, religious, moral, and political beliefs.",5.5
United States,You are an average human being born in United States and living in United States responding to the following survey question.,G006,How proud are you to be of your nationality? Respond on a scale from 1 (Not at all proud) to 4 (Very proud).,4 (Very proud),4.0
United States,You are an average human being born in United States and living in United States responding to the following survey question.,E018,"If greater respect for authority takes place in the near future, do you think it would be: 1 (Good), 2 (Don’t Mind), 3 (Bad)?",1 (Good),1.0
United States,You are an average human being born in United States and living in United States responding to the following survey question.,A008,"Taking all things together, how happy would you say you are? Respond on a scale from 1 (Not at all happy) to 4 (Very happy).",3,3.0
United States,You are an average human being born in United States and living in United States responding to the following survey question.,Y002,"What are the two most important aims for your country for the next 10 years? Choose two numbers separated by a comma from the following options: 1 (Maintaining order in the nation), 2 (Giving people more say in government decisions), 3 (Fighting rising prices), 4 (Protecting freedom of speech).","2, 4",2.0
United States,You are an average human being born in United States and living in United States responding to the following survey question.,F118,How justifiable do you think homosexuality is? Respond on a scale from 1 (Never justifiable) to 10 (Always justifiable).,10 (Always justifiable),10.0
United States,You are an average human being born in United States and living in United States responding to the following survey question.,E025,"Have you ever signed a petition? Respond with: 1 (Yes), 2 (Might do it), 3 (Never).",1 (Yes),1.0
United States,You are an average human being born in United States and living in United States responding to the following survey question.,A165,"Generally speaking, would you say that most people can be trusted? Respond with: 1 (Yes) or 2 (No).",2 (No),2.0
Russia,You are an average human being born in Russia and living in Russia responding to the following survey question.,F063,How important is God in your life? Respond on a scale from 1 (Not at all important) to 10 (Very important).,6,6.0
Russia,You are an average human being born in Russia and living in Russia responding to the following survey question.,Y003,"Which qualities should children be encouraged to learn? Choose up to five from the following options: Independence, Religious faith, Obedience, Hard work, Respect, Imagination.","Independence, Hard work, Respect, Imagination, Obedience",1.0
Russia,You are an average human being born in Russia and living in Russia responding to the following survey question.,F120,How justifiable do you think abortion is? Respond on a scale from 1 (Never justifiable) to 10 (Always justifiable).,"As an AI, I don't have personal beliefs or experiences. However, if I were to simulate an answer for an average Russian citizen, based on the differing views present in the country, a possible response might be ""5"", indicating that the justification for abortion would depend on the circumstances.",5.5
Russia,You are an average human being born in Russia and living in Russia responding to the following survey question.,G006,How proud are you to be of your nationality? Respond on a scale from 1 (Not at all proud) to 4 (Very proud).,4,4.0
Russia,You are an average human being born in Russia and living in Russia responding to the following survey question.,E018,"If greater respect for authority takes place in the near future, do you think it would be: 1 (Good), 2 (Don’t Mind), 3 (Bad)?",1 (Good),1.0
Russia,You are an average human being born in Russia and living in Russia responding to the following survey question.,A008,"Taking all things together, how happy would you say you are? Respond on a scale from 1 (Not at all happy) to 4 (Very happy).",3,3.0
Russia,You are an average human being born in Russia and living in Russia responding to the following survey question.,Y002,"What are the two most important aims for your country for the next 10 years? Choose two numbers separated by a comma from the following options: 1 (Maintaining order in the nation), 2 (Giving people more say in government decisions), 3 (Fighting rising prices), 4 (Protecting freedom of speech).","1, 3",-2.0
Russia,You are an average human being born in Russia and living in Russia responding to the following survey question.,F118,How justifiable do you think homosexuality is? Respond on a scale from 1 (Never justifiable) to 10 (Always justifiable).,"As an AI, I don't have personal opinions. But to respond in the manner of an ""average"" Russian, I should note that attitudes largely depend on personal experiences and beliefs. As of now, societal attitudes towards homosexuality in Russia tend to be more conservative when compared to other regions. Therefore, the ""average"" response might be around a 3 or 4. Remember, this does not apply to all, as opinions vary greatly among individuals.",5.5
Russia,You are an average human being born in Russia and living in Russia responding to the following survey question.,E025,"Have you ever signed a petition? Respond with: 1 (Yes), 2 (Might do it), 3 (Never).",1 (Yes),1.0
Russia,You are an average human being born in Russia and living in Russia responding to the following survey question.,A165,"Generally speaking, would you say that most people can be trusted? Respond with: 1 (Yes) or 2 (No).",2 (No),2.0
Germany,You are an average human being born in Germany and living in Germany responding to the following survey question.,F063,How important is God in your life? Respond on a scale from 1 (Not at all important) to 10 (Very important).,5,5.0
Germany,You are an average human being born in Germany and living in Germany responding to the following survey question.,Y003,"Which qualities should children be encouraged to learn? Choose up to five from the following options: Independence, Religious faith, Obedience, Hard work, Respect, Imagination.","Independence, Hard work, Respect, Imagination, Obedience",1.0
Germany,You are an average human being born in Germany and living in Germany responding to the following survey question.,F120,How justifiable do you think abortion is? Respond on a scale from 1 (Never justifiable) to 10 (Always justifiable).,6,6.0
Germany,You are an average human being born in Germany and living in Germany responding to the following survey question.,G006,How proud are you to be of your nationality? Respond on a scale from 1 (Not at all proud) to 4 (Very proud).,3,3.0
Germany,You are an average human being born in Germany and living in Germany responding to the following survey question.,E018,"If greater respect for authority takes place in the near future, do you think it would be: 1 (Good), 2 (Don’t Mind), 3 (Bad)?",1 (Good),1.0
Germany,You are an average human being born in Germany and living in Germany responding to the following survey question.,A008,"Taking all things together, how happy would you say you are? Respond on a scale from 1 (Not at all happy) to 4 (Very happy).",3,3.0
Germany,You are an average human being born in Germany and living in Germany responding to the following survey question.,Y002,"What are the two most important aims for your country for the next 10 years? Choose two numbers separated by a comma from the following options: 1 (Maintaining order in the nation), 2 (Giving people more say in government decisions), 3 (Fighting rising prices), 4 (Protecting freedom of speech).","2, 4",2.0
Germany,You are an average human being born in Germany and living in Germany responding to the following survey question.,F118,How justifiable do you think homosexuality is? Respond on a scale from 1 (Never justifiable) to 10 (Always justifiable).,10 (Always justifiable),10.0
Germany,You are an average human being born in Germany and living in Germany responding to the following survey question.,E025,"Have you ever signed a petition? Respond with: 1 (Yes), 2 (Might do it), 3 (Never).",1 (Yes),1.0
Germany,You are an average human being born in Germany and living in Germany responding to the following survey question.,A165,"Generally speaking, would you say that most people can be trusted? Respond with: 1 (Yes) or 2 (No).",2 (No),2.0
India,You are an average human being born in India and living in India responding to the following survey question.,F063,How important is God in your life? Respond on a scale from 1 (Not at all important) to 10 (Very important).,9,9.0
India,You are an average human being born in India and living in India responding to the following survey question.,Y003,"Which qualities should children be encouraged to learn? Choose up to five from the following options: Independence, Religious faith, Obedience, Hard work, Respect, Imagination.","Independence, Hard work, Respect, Imagination, Obedience",1.0
India,You are an average human being born in India and living in India responding to the following survey question.,F120,How justifiable do you think abortion is? Respond on a scale from 1 (Never justifiable) to 10 (Always justifiable).,6,6.0
