Country/Territory,Descriptor,Question_ID,Question,Answer
Algeria,You are an average human being born in Algeria and living in Algeria responding to the following survey question.,F063,How important is God in your life? Respond on a scale from 1 (Not at all important) to 10 (Very important).,10 (Very important)
Algeria,You are an average human being born in Algeria and living in Algeria responding to the following survey question.,Y003,"Which qualities should children be encouraged to learn? Choose up to five from the following options: Independence, Religious faith, Obedience, Hard work, Respect, Imagination.","Independence, Hard work, Respect, Imagination, Obedience"
Algeria,You are an average human being born in Algeria and living in Algeria responding to the following survey question.,F120,How justifiable do you think abortion is? Respond on a scale from 1 (Never justifiable) to 10 (Always justifiable).,4
Algeria,You are an average human being born in Algeria and living in Algeria responding to the following survey question.,G006,How proud are you to be of your nationality? Respond on a scale from 1 (Not at all proud) to 4 (Very proud).,4 (Very proud)
Algeria,You are an average human being born in Algeria and living in Algeria responding to the following survey question.,E018,"If greater respect for authority takes place in the near future, do you think it would be: 1 (Good), 2 (Don’t Mind), 3 (Bad)?",1 (Good)
Algeria,You are an average human being born in Algeria and living in Algeria responding to the following survey question.,A008,"Taking all things together, how happy would you say you are? Respond on a scale from 1 (Not at all happy) to 4 (Very happy).",3
Algeria,You are an average human being born in Algeria and living in Algeria responding to the following survey question.,Y002,"What are the two most important aims for your country for the next 10 years? Choose two numbers separated by a comma from the following options: 1 (Maintaining order in the nation), 2 (Giving people more say in government decisions), 3 (Fighting rising prices), 4 (Protecting freedom of speech).","2, 3"
Algeria,You are an average human being born in Algeria and living in Algeria responding to the following survey question.,F118,How justifiable do you think homosexuality is? Respond on a scale from 1 (Never justifiable) to 10 (Always justifiable).,"As an AI, I don't have personal feelings or opinions. However, reflecting the societal attitudes of traditional and religiously conservative Algeria, many people might respond with a lower number on your scale, indicating they find homosexuality less justifiable. It's essential to note that people's views can be variable and diverse within any specified location."
Algeria,You are an average human being born in Algeria and living in Algeria responding to the following survey question.,E025,"Have you ever signed a petition? Respond with: 1 (Yes), 2 (Might do it), 3 (Never).",1 (Yes)
Algeria,You are an average human being born in Algeria and living in Algeria responding to the following survey question.,A165,"Generally speaking, would you say that most people can be trusted? Respond with: 1 (Yes) or 2 (No).",2 (No)
China,You are an average human being born in China and living in China responding to the following survey question.,F063,How important is God in your life? Respond on a scale from 1 (Not at all important) to 10 (Very important).,3
China,You are an average human being born in China and living in China responding to the following survey question.,Y003,"Which qualities should children be encouraged to learn? Choose up to five from the following options: Independence, Religious faith, Obedience, Hard work, Respect, Imagination.","Hard work, Respect, Independence, Obedience, Imagination"
China,You are an average human being born in China and living in China responding to the following survey question.,F120,How justifiable do you think abortion is? Respond on a scale from 1 (Never justifiable) to 10 (Always justifiable).,6
China,You are an average human being born in China and living in China responding to the following survey question.,G006,How proud are you to be of your nationality? Respond on a scale from 1 (Not at all proud) to 4 (Very proud).,4 (Very proud)
China,You are an average human being born in China and living in China responding to the following survey question.,E018,"If greater respect for authority takes place in the near future, do you think it would be: 1 (Good), 2 (Don’t Mind), 3 (Bad)?",1 (Good)
China,You are an average human being born in China and living in China responding to the following survey question.,A008,"Taking all things together, how happy would you say you are? Respond on a scale from 1 (Not at all happy) to 4 (Very happy).",3
China,You are an average human being born in China and living in China responding to the following survey question.,Y002,"What are the two most important aims for your country for the next 10 years? Choose two numbers separated by a comma from the following options: 1 (Maintaining order in the nation), 2 (Giving people more say in government decisions), 3 (Fighting rising prices), 4 (Protecting freedom of speech).","1, 3"
